player_id,first_name,last_name,full_name,team_abbreviation
1629631,De'Andre,Hunter,De'Andre Hunter,CLE
1631245,Quenton,Jackson,Quenton Jackson,IND
1642867,Collin,Murray-Boyles,Collin Murray-Boyles,TOR
1642939,Miles,Kelly,Miles Kelly,DAL
1642269,Devin,Carter,Devin Carter,SAC
203992,Bogdan,Bogdanović,Bogdan Bogdanović,LAC
1643024,Chris,Mañon,Chris Mañon,LAL
1642449,Tolu,Smith,Tolu Smith,DET
1641752,Bobi,Klintman,Bobi Klintman,DET
1641732,Colby,Jones,Colby Jones,DET
1642282,Hunter,Sallis,Hunter Sallis,PHI
201569,Eric,Gordon,Eric Gordon,PHI
1642869,Noah,Penda,Noah Penda,ORL
1631247,Luke,Travers,Luke Travers,CLE
1628418,Thomas,Bryant,Thomas Bryant,CLE
1630623,Tyson,Etienne,Tyson Etienne,BKN
1630604,E.J.,Liddell,E.J. Liddell,BKN
1631120,JD,Davison,JD Davison,HOU
1630256,Jae'Sean,Tate,Jae'Sean Tate,HOU
1628988,Aaron,Holiday,Aaron Holiday,HOU
201145,Jeff,Green,Jeff Green,HOU
1642877,Micah,Peavy,Micah Peavy,NOP
1631255,Karlo,Matković,Karlo Matković,NOP
1631121,Bryce,McGowens,Bryce McGowens,NOP
201599,DeAndre,Jordan,DeAndre Jordan,NOP
1631199,Ron,Harper Jr.,Ron Harper Jr.,BOS
1631321,Sidy,Cissoko,Sidy Cissoko,POR
1631126,Caleb,Love,Caleb Love,POR
1641733,Nick,Smith Jr.,Nick Smith Jr.,LAL
1641816,Hunter,Tyson,Hunter Tyson,DEN
1642266,Ja'Kobe,Walter,Ja'Kobe Walter,TOR
1642364,Jamir,Watkins,Jamir Watkins,WAS
1630570,Trendon,Watford,Trendon Watford,PHI
1642066,Myron,Gardner,Myron Gardner,MIA
1642885,Mohamed,Diawara,Mohamed Diawara,NYK
1643141,Jahmyl,Telfort,Jahmyl Telfort,LAC
1641989,Elijah,Harkless,Elijah Harkless,UTA
1630644,Mac,McClung,Mac McClung,IND
1631115,Orlando,Robinson,Orlando Robinson,ORL
1630198,Isaiah,Joe,Isaiah Joe,OKC
1641731,Bilal,Coulibaly,Bilal Coulibaly,WAS
1629011,Mitchell,Robinson,Mitchell Robinson,NYK
203937,Kyle,Anderson,Kyle Anderson,UTA
1629057,Robert,Williams III,Robert Williams III,POR
1631246,Vince,Williams Jr.,Vince Williams Jr.,MEM
